date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations
2021-01-12,Alabama,78134,377025,70861,7270,
2021-01-13,Alabama,84040,378975,74792,9245,5906
2021-01-14,Alabama,92300,435350,80480,,7083
2021-01-15,Alabama,100567,444650,86956,13488,7478
2021-01-16,Alabama,,,,,7498
2021-01-17,Alabama,,,,,7509
2021-01-18,Alabama,,,,,7517
2021-01-19,Alabama,130795,444650,114319,16346,7523
2021-01-20,Alabama,139200,483275,121113,17956,7880
2021-01-21,Alabama,165919,493125,144429,21345,10517
2021-01-22,Alabama,199314,519525,174317,24840,14107
2021-01-23,Alabama,221540,521225,193955,27422,16202
2021-01-24,Alabama,243737,521225,213833,29736,18294
2021-01-25,Alabama,250612,521225,220464,29978,18196
2021-01-26,Alabama,254959,569000,223854,30933,17738
2021-01-27,Alabama,266444,634000,232633,33595,18178
2021-01-28,Alabama,278993,655275,241337,37431,16153
2021-01-29,Alabama,300915,659400,256601,44073,14514
2021-01-30,Alabama,342436,659400,288368,53742,17271
2021-01-31,Alabama,353974,659400,298301,55331,15748
2021-02-01,Alabama,358280,659400,301628,56308,15381
2021-02-02,Alabama,371882,680550,312711,58825,16703
2021-02-03,Alabama,388339,765150,324998,62990,17414
2021-02-04,Alabama,408428,799675,338845,69155,18491
2021-02-05,Alabama,430597,799875,353522,76603,18526
2021-02-06,Alabama,455173,804100,370275,84278,16105
2021-02-07,Alabama,462332,804100,375567,86141,15480
2021-02-08,Alabama,467636,804100,378514,88453,15622
2021-02-09,Alabama,490969,823600,395196,95033,17012
2021-02-10,Alabama,515802,861175,412462,102520,18209
2021-02-11,Alabama,543237,911875,431259,111036,19258
2021-02-12,Alabama,571115,936200,448071,122019,20074
2021-02-13,Alabama,601159,963600,467032,133029,20855
2021-02-14,Alabama,612254,965550,474065,137032,21417
2021-02-15,Alabama,,,,,22405
2021-02-16,Alabama,636682,1015775,486206,149288,20816
2021-02-17,Alabama,650020,1032175,494424,154341,19174
2021-02-18,Alabama,672038,1032175,505660,165104,18400
2021-02-19,Alabama,739132,1077600,545431,192304,24002
2021-02-20,Alabama,776936,1078800,560968,214512,25111
2021-02-21,Alabama,788613,1082100,567505,219639,25194
2021-02-22,Alabama,793614,1082100,570355,221785,24164
2021-02-23,Alabama,815108,1084440,580477,233073,25489
2021-02-24,Alabama,839703,1138650,591009,247024,27098
2021-02-25,Alabama,864757,1170120,601343,261689,27531
2021-02-26,Alabama,893859,1380380,613097,278985,22104
2021-02-27,Alabama,931090,1402180,628583,300548,22022
2021-02-28,Alabama,942502,1402280,634792,305731,21984
2021-03-01,Alabama,948393,1402280,637989,308416,22111
2021-03-02,Alabama,972161,1461320,647752,322346,22436
2021-03-03,Alabama,1000031,1469100,658906,338967,22904
2021-03-04,Alabama,1032171,1530470,672546,357384,23916
2021-03-05,Alabama,1064578,1556460,687445,374826,24388
2021-03-06,Alabama,1099697,1628350,703725,393619,24087
2021-03-07,Alabama,1110132,1628350,709736,398035,23947
2021-01-12,Alaska,35838,141600,22486,5400,
2021-01-13,Alaska,38680,149475,24541,6166,2842
2021-01-14,Alaska,42596,150450,35508,,3379
2021-01-15,Alaska,49039,150450,39546,9406,4400
2021-01-16,Alaska,,,,,4381
2021-01-17,Alaska,,,,,4369
2021-01-18,Alaska,,,,,4362
2021-01-19,Alaska,66331,150450,55434,10802,4356
2021-01-20,Alaska,68293,150350,56911,11283,4230
2021-01-21,Alaska,71907,154325,59449,12352,4187
2021-01-22,Alaska,81096,155500,67262,13718,4580
2021-01-23,Alaska,88344,155700,73014,15206,4997
2021-01-24,Alaska,94257,155700,77925,16201,5225
2021-01-25,Alaska,97031,155700,80226,16673,5003
2021-01-26,Alaska,98149,162925,81200,16815,4545
2021-01-27,Alaska,101597,170575,83363,18097,4758
2021-01-28,Alaska,105858,178075,85672,20045,4850
2021-01-29,Alaska,110396,192350,88654,21593,4186
2021-01-30,Alaska,115268,193150,91794,23320,3846
2021-01-31,Alaska,119590,193150,94889,24545,3619
2021-02-01,Alaska,122020,193150,96396,25467,3570
2021-02-02,Alaska,123443,196975,97076,26207,3613
2021-02-03,Alaska,125765,229975,98076,27528,3453
2021-02-04,Alaska,129936,240325,99596,30172,3440
2021-02-05,Alaska,134002,245700,101225,32593,3372
2021-02-06,Alaska,139147,248500,103163,35773,3411
2021-02-07,Alaska,146082,248500,106311,39541,3785
2021-02-08,Alaska,150934,248500,109890,40812,4131
2021-02-09,Alaska,152874,256900,110936,41698,4204
2021-02-10,Alaska,156255,260300,112448,43552,4356
2021-02-11,Alaska,162273,270250,116001,46006,4620
2021-02-12,Alaska,167436,271350,118189,48969,4776
2021-02-13,Alaska,175138,271550,122463,52380,5142
2021-02-14,Alaska,183831,271550,126381,57117,5393
2021-02-15,Alaska,,,,,5212
2021-02-16,Alaska,191008,271550,129658,60964,5448
2021-02-17,Alaska,193617,271550,130751,62474,5337
2021-02-18,Alaska,199151,271550,133491,65245,5268
2021-02-19,Alaska,216223,299935,143887,71892,6970
2021-02-20,Alaska,227403,299935,148299,78623,7466
2021-02-21,Alaska,235141,299935,152349,82272,7330
2021-02-22,Alaska,238279,299935,153349,84385,7266
2021-02-23,Alaska,239927,304875,154392,84984,6988
2021-02-24,Alaska,243650,315765,156027,87061,7148
2021-02-25,Alaska,249559,319265,158560,90416,7201
2021-02-26,Alaska,254334,332415,161333,92407,5444
2021-02-27,Alaska,259538,342535,163443,95485,4591
2021-02-28,Alaska,264741,342535,166432,97692,4229
2021-03-01,Alaska,268406,342535,167759,100024,4304
2021-03-02,Alaska,269941,372725,168315,101000,4288
2021-03-03,Alaska,273350,399225,170243,102472,4243
2021-03-04,Alaska,276891,409125,172050,104193,3905
2021-03-05,Alaska,281467,421375,174208,106597,3876
2021-03-06,Alaska,288625,426715,177865,110078,4155
2021-03-07,Alaska,295046,426715,180563,113792,4329
2021-01-12,Arizona,141355,563025,95141,8343,
2021-01-13,Arizona,154745,569525,104387,12392,13390
2021-01-14,Arizona,173665,570625,157397,,16155
2021-01-15,Arizona,197086,571725,176213,20837,18577
2021-01-16,Arizona,,,,,18257
2021-01-17,Arizona,,,,,18065
2021-01-18,Arizona,,,,,17937
2021-01-19,Arizona,266276,571725,235331,30892,17846
2021-01-20,Arizona,281887,752250,246960,34788,18163
2021-01-21,Arizona,303899,797550,262120,41613,18605
2021-01-22,Arizona,329349,822050,280227,48938,18895
2021-01-23,Arizona,360958,829500,305744,55014,20939
2021-01-24,Arizona,390623,829500,332095,58291,22706
2021-01-25,Arizona,413662,829500,350648,62711,23526
2021-01-26,Arizona,430892,837200,366018,64551,23517
2021-01-27,Arizona,458258,990000,389059,68846,25196
2021-01-28,Arizona,487149,1011375,412841,73927,26179
2021-01-29,Arizona,521097,1012275,439897,80773,27393
2021-01-30,Arizona,557369,1013375,469916,86990,28059
2021-01-31,Arizona,594104,1013375,500942,92666,29069
2021-02-01,Arizona,620608,1013375,524413,95671,29564
2021-02-02,Arizona,631662,1082050,534476,96660,28681
2021-02-03,Arizona,656040,1181000,553373,102107,28255
2021-02-04,Arizona,686116,1185700,573845,111645,28424
2021-02-05,Arizona,719458,1186000,597525,121227,28337
2021-02-06,Arizona,766788,1186000,629750,136236,29917
2021-02-07,Arizona,809230,1186000,656909,151392,30732
2021-02-08,Arizona,841018,1186000,678697,161324,31487
2021-02-09,Arizona,863807,1265950,695970,166798,33164
2021-02-10,Arizona,897757,1370175,719051,177565,34531
2021-02-11,Arizona,941575,1391475,747599,192542,36494
2021-02-12,Arizona,990296,1393475,780057,207912,38691
